"","AbsoluteCS","Acceleration.forward","Acceleration.side","Acceleration.up","Rotation.roll","Rotation.pitch","Rotation.yaw","imuRotation.pitch","imuRotation.roll","imuRotation.yaw","RawPlayerLoad","SmoothedPlayerLoad"
"1",167277493608,-0.717772,-0.039203998,0.60209596,-98.088,-50.203,78.202,-29.855488,10.60577,131.35188,0.05078125,0.09567333
"2",167277493609,-0.69696,-0.00242,0.64614,-97.051,-49.105,77.592,-29.546074,9.671158,129.93927,0.053222656,0.09452534
"3",167277493610,-0.6897,0.02178,0.682924,-95.465004,-45.811,75.884,-27.270418,8.032829,127.13141,0.047851562,0.09335267
"4",167277493611,-0.68873197,0.015004,0.680988,-93.208,-42.395,72.834,-25.03115,5.818035,123.00185,0.020019531,0.09215667
"5",167277493612,-0.695992,-0.006292,0.68002,-91.439,-40.687,69.296,-24.36181,3.1741257,119.22621,0.010253906,0.09093933
"6",167277493613,-0.696476,-0.003872,0.642268,-89.365,-39.589,67.222,-24.049677,1.962307,116.146255,0.016113281,0.089701995
"7",167277493614,-0.685344,0.018876,0.605484,-88.023,-37.759,63.989002,-23.090454,-0.50684357,112.84929,0.029296875,0.088446
"8",167277493615,-0.670824,0.03872,0.589512,-86.925,-38.308,60.573,-24.454082,-3.0849571,109.931915,0.027832031,0.087173335
"9",167277493616,-0.694056,0.007744,0.598224,-84.973,-37.637,56.12,-24.668285,-5.9931145,105.55552,0.012207031,0.085887335
"10",167277493617,-0.707124,-0.031944,0.618068,-82.655,-37.515,53.07,-25.150118,-7.4850464,101.81894,0.027832031,0.08458933
"11",167277493618,-0.728904,-0.064371996,0.652916,-80.215004,-37.088,51.667,-25.069761,-7.6030197,98.96033,0.03955078,0.083282
"12",167277493619,-0.734712,-0.066308,0.67517996,-77.897,-35.746002,49.959,-24.113878,-8.075939,95.89015,0.027832031,0.081968
"13",167277493620,-0.74294,-0.078407995,0.696476,-76.128,-34.953,47.824,-23.689068,-9.157063,93.05534,0.025878906,0.08064867
"14",167277493621,-0.737132,-0.05082,0.70664,-73.749,-33.001,45.75,-22.190132,-9.829292,89.62158,0.017089844,0.079324
"15",167277493622,-0.732776,-0.056628,0.71147996,-71.919,-31.415,43.127,-21.063578,-11.203003,86.313385,0.009277344,0.077994
"16",167277493623,-0.727452,-0.050336,0.73326,-69.906,-28.914,40.321,-19.063744,-12.602428,82.62205,0.016601562,0.07666066
"17",167277493624,-0.72551596,-0.047431998,0.707124,-67.954,-27.206,37.576,-17.816023,-13.875366,79.119736,0.0063476562,0.07532533
"18",167277493625,-0.73568,-0.082279995,0.69696,-65.209,-25.62,35.136,-16.654333,-14.299839,75.241516,0.018066406,0.07398933
"19",167277493626,-0.734712,-0.125356,0.71438396,-62.769,-22.753,33.611,-14.048737,-14.276381,72.01503,0.030761719,0.07265333
"20",167277493627,-0.723096,-0.11858,0.703736,-60.207,-21.960001,33.428,-13.350897,-13.012684,69.83537,0.01171875,0.071319334
"21",167277493628,-0.729388,-0.0968,0.679536,-57.706,-21.289,32.513,-12.90374,-12.272831,67.25453,0.0146484375,0.069992
"22",167277493629,-0.721644,-0.120515995,0.65823996,-55.449,-19.337,31.415,-11.1780815,-11.887886,64.5689,0.020507812,0.068676
"23",167277493630,-0.717772,-0.144716,0.626296,-53.558002,-18.666,30.988,-10.578606,-11.125143,62.781044,0.030273438,0.067374
"24",167277493631,-0.72358,-0.166496,0.60258,-51.911,-18.056,31.232,-9.919571,-9.969566,61.631313,0.030761719,0.06608667
"25",167277493632,-0.7018,-0.181016,0.601128,-50.508,-16.592001,30.683,-8.508128,-9.6553135,60.018208,0.022949219,0.06481333
"26",167277493633,-0.71728796,-0.180532,0.59532,-49.044,-15.9210005,31.293001,-7.726138,-8.341316,59.234894,0.011230469,0.06355533
"27",167277493634,-0.707608,-0.1573,0.580316,-46.787,-14.701,31.232,-6.5923386,-7.0206013,57.33963,0.0146484375,0.062313333
"28",167277493635,-0.71632,-0.15052399,0.576444,-44.164,-13.481,30.866001,-5.55212,-5.6517296,54.973984,0.010253906,0.061087333
"29",167277493636,-0.735196,-0.144716,0.57934797,-42.09,-12.627,30.317,-4.883404,-4.7260647,52.9523,0.0126953125,0.059876665
"30",167277493637,-0.743424,-0.13552,0.603064,-39.833,-11.956,29.585001,-4.463751,-3.8268623,50.698288,0.016113281,0.058682
"31",167277493638,-0.74487597,-0.14423199,0.622424,-37.942,-10.919,28.548,-3.7096786,-3.4236012,48.459526,0.016113281,0.057506666
"32",167277493639,-0.76181597,-0.15197599,0.623876,-36.234,-9.943,27.572,-2.9906077,-3.0766926,46.406593,0.013183594,0.056352668
"33",167277493640,-0.76471996,-0.153912,0.616616,-34.526,-9.089,26.657,-2.384423,-2.6621075,44.412582,0.0073242188,0.055221334
"34",167277493641,-0.77343196,-0.155848,0.60984,-32.696,-8.601,25.986,-2.1165524,-1.9691887,42.543163,0.0078125,0.054112002
"35",167277493642,-0.765204,-0.154396,0.59386796,-31.171,-8.479,25.498001,-2.1645045,-1.3051109,41.076572,0.009765625,0.05302467
"36",167277493643,-0.760848,-0.16455999,0.57934797,-29.585001,-8.235,24.766,-2.1281514,-0.8030491,39.386147,0.013183594,0.05196067
"37",167277493644,-0.76181597,-0.18343599,0.584188,-28.548,-8.113,24.156,-2.1420062,-0.5596647,38.20236,0.012207031,0.050921336
"38",167277493645,-0.75649196,-0.19892399,0.601128,-27.389,-7.5030003,23.729,-1.6568758,-0.13470459,36.96964,0.015625,0.049907997
"39",167277493646,-0.75939596,-0.207152,0.606452,-26.596,-6.893,23.973,-1.0381153,0.5456228,36.444344,0.01171875,0.048919335
"40",167277493647,-0.77004397,-0.21441199,0.599676,-25.254,-6.039,24.644001,-0.15297174,1.9018879,35.74801,0.010253906,0.047956668
"41",167277493648,-0.772464,-0.21441199,0.603064,-24.034,-5.551,24.949,0.31333637,2.93007,34.960205,0.0048828125,0.047022667
"42",167277493649,-0.771012,-0.21054,0.60451597,-22.875,-5.063,25.071001,0.74561405,3.77569,34.09755,0.0009765625,0.046118665
"43",167277493650,-0.77875596,-0.20521599,0.601612,-21.777,-4.453,25.071001,1.2722212,4.494891,33.1783,0.0048828125,0.04524667
"44",167277493651,-0.77924,-0.20037599,0.599676,-20.374,-3.782,25.132,1.838716,5.45169,32.061176,0.00390625,0.044408664
"45",167277493652,-0.78988796,-0.181016,0.592416,-19.215,-3.4160001,25.193,2.105455,6.2831206,31.171494,0.013671875,0.043604665
"46",167277493653,-0.77875596,-0.17569199,0.578864,-17.751,-3.233,24.522,2.0476756,6.777457,29.609993,0.012207031,0.042834
"47",167277493654,-0.783112,-0.168916,0.57354,-16.714,-2.989,24.461,2.1732237,7.442221,28.749311,0.009765625,0.042094663
"48",167277493655,-0.787952,-0.164076,0.57354,-15.433001,-2.501,24.156,2.4791965,8.074427,27.506405,0.0063476562,0.041386668
